ϣⲓⲏⲧ	ϣⲓⲏⲧ	place	Wadi El Natrun	17
ϩⲁϩ ⲛ ⲓⲟⲩⲇⲁⲓ	ⲓⲟⲩⲇⲁⲓ	person	Jews	1
ϩⲁⲙⲱⲥ	ϩⲁⲙⲱⲥ	person	Amon of Judah	1
ϩⲁⲙⲱⲥ	ϩⲁⲙⲱⲥ	person	Amoz	1
ϩⲁⲙⲱⲥ ⲡ ϣⲏⲣⲉ ⲛ ⲛⲁⲟⲩⲙ	ϩⲁⲙⲱⲥ	person		1
ϩⲁⲙⲱⲥ ⲡⲉ ⲡⲣⲟⲫⲏⲧⲏⲥ	ϩⲁⲙⲱⲥ	person	Amoz	1
ϩⲉⲃⲉⲣ ⲡ ϣⲏⲣⲉ ⲛⲥⲁⲗⲁ	ϩⲉⲃⲉⲣ	person	Eber	1
ϩⲉⲛ ⲓⲟⲩⲇⲁⲓ	ⲓⲟⲩⲇⲁⲓ	person	Jews	1
ϩⲉⲛ ⲓⲟⲩⲇⲁⲓ ⲛ ϩⲟⲓⲛⲉ	ⲓⲟⲩⲇⲁⲓ	person	Jews	1
ϩⲏⲗⲉⲓ	ϩⲏⲗⲉⲓ	person	Eli (biblical figure)	3
ϩⲏⲗⲉⲓ	ϩⲏⲗⲉⲓ	person	Heli (biblical figure)	1
ϩⲏⲗⲉⲓⲁⲥ	ϩⲏⲗⲉⲓⲁⲥ	person	Elijah	8
ϩⲏⲗⲉⲓⲁⲥ ⲡ ⲉⲧ ⲛⲏⲩ	ϩⲏⲗⲉⲓⲁⲥ	person	Elijah	1
ϩⲏⲗⲓ	ϩⲏⲗⲓ	person	Eli (biblical figure)	1
ϩⲏⲗⲓ ⲡ ⲟⲩⲏⲏⲃ	ϩⲏⲗⲓ	person	Eli (biblical figure)	1
ϩⲏⲗⲓⲁⲥ	ϩⲏⲗⲓⲁⲥ	person	Elijah	9
ϩⲏⲗⲓⲁⲥ ⲛⲧ ⲁ ϥ ⲕⲁ ϩⲧⲏ ϥ ⲉⲣⲟ ϥ ϩⲓϫⲙ ⲡⲉ ⲭⲉⲓⲙⲁⲣⲣⲟⲥ ⲛ ⲭⲁⲣⲁⲑ	ϩⲏⲗⲓⲁⲥ	person	Elijah	1
ϩⲏⲗⲓⲁⲥ ⲡⲉ ⲑⲉⲥⲃⲩⲧⲏⲥ	ϩⲏⲗⲓⲁⲥ	person	Elijah	1
ϩⲏⲗⲓⲁⲥ ⲡⲉ ⲑⲉⲥⲃⲩⲧⲏⲥ ϩⲓ ⲧ ⲉⲣⲏⲙⲟⲥ	ϩⲏⲗⲓⲁⲥ	person	Elijah	1
